data,tMin,tMed,tMax,precipitacao,Produto,Vendas
2019-08-12,13.25,26.75,30.875,0,1,117
2019-08-12,13.25,26.75,30.875,0,2,35
2019-08-12,13.25,26.75,30.875,0,3,18
2019-08-12,13.25,26.75,30.875,0,4,14
2019-08-12,13.25,26.75,30.875,0,5,14
2019-08-12,13.25,26.75,30.875,0,6,17
2019-08-12,13.25,26.75,30.875,0,7,20
2019-08-12,13.25,26.75,30.875,0,8,6
2019-08-19,12.375,16.25,19.875,0,1,108
2019-08-19,12.375,16.25,19.875,0,2,33
2019-08-19,12.375,16.25,19.875,0,3,32
2019-08-19,12.375,16.25,19.875,0,4,6
2019-08-19,12.375,16.25,19.875,0,5,9
2019-08-19,12.375,16.25,19.875,0,6,14
2019-08-19,12.375,16.25,19.875,0,7,0
2019-08-19,12.375,16.25,19.875,0,8,2
2019-08-26,10.75,13.75,16.375,0,1,121
2019-08-26,10.75,13.75,16.375,0,2,94
2019-08-26,10.75,13.75,16.375,0,3,22
2019-08-26,10.75,13.75,16.375,0,4,11
2019-08-26,10.75,13.75,16.375,0,5,15
2019-08-26,10.75,13.75,16.375,0,6,42
2019-08-26,10.75,13.75,16.375,0,7,0
2019-08-26,10.75,13.75,16.375,0,8,7
2019-09-02,13.0,17.5,22.0,81,1,90
2019-09-02,13.0,17.5,22.0,81,2,34
2019-09-02,13.0,17.5,22.0,81,3,29
2019-09-02,13.0,17.5,22.0,81,4,1
2019-09-02,13.0,17.5,22.0,81,5,4
2019-09-02,13.0,17.5,22.0,81,6,0
2019-09-02,13.0,17.5,22.0,81,7,6
2019-09-02,13.0,17.5,22.0,81,8,0
2019-09-09,13.375,17.25,20.625,0,1,137
2019-09-09,13.375,17.25,20.625,0,2,10
2019-09-09,13.375,17.25,20.625,0,3,35
2019-09-09,13.375,17.25,20.625,0,4,8
2019-09-09,13.375,17.25,20.625,0,5,11
2019-09-09,13.375,17.25,20.625,0,6,7
2019-09-09,13.375,17.25,20.625,0,7,0
2019-09-09,13.375,17.25,20.625,0,8,8
2019-09-16,16.875,22.5,28.0,0,1,82
2019-09-16,16.875,22.5,28.0,0,2,13
2019-09-16,16.875,22.5,28.0,0,3,31
2019-09-16,16.875,22.5,28.0,0,4,17
2019-09-16,16.875,22.5,28.0,0,5,7
2019-09-16,16.875,22.5,28.0,0,6,4
2019-09-16,16.875,22.5,28.0,0,7,6
2019-09-16,16.875,22.5,28.0,0,8,3
2019-09-23,15.875,20.125,24.25,0,1,179
2019-09-23,15.875,20.125,24.25,0,2,27
2019-09-23,15.875,20.125,24.25,0,3,18
2019-09-23,15.875,20.125,24.25,0,4,3
2019-09-23,15.875,20.125,24.25,0,5,5
2019-09-23,15.875,20.125,24.25,0,6,34
2019-09-23,15.875,20.125,24.25,0,7,10
2019-09-23,15.875,20.125,24.25,0,8,4
2019-09-30,12.0,15.375,18.875,0,1,90
2019-09-30,12.0,15.375,18.875,0,2,12
2019-09-30,12.0,15.375,18.875,0,3,35
2019-09-30,12.0,15.375,18.875,0,4,10
2019-09-30,12.0,15.375,18.875,0,5,14
2019-09-30,12.0,15.375,18.875,0,6,21
2019-09-30,12.0,15.375,18.875,0,7,3
2019-09-30,12.0,15.375,18.875,0,8,6
2019-10-07,14.625,20.0,25.375,2,1,144
2019-10-07,14.625,20.0,25.375,2,2,51
2019-10-07,14.625,20.0,25.375,2,3,5
2019-10-07,14.625,20.0,25.375,2,4,8
2019-10-07,14.625,20.0,25.375,2,5,6
2019-10-07,14.625,20.0,25.375,2,6,5
2019-10-07,14.625,20.0,25.375,2,7,21
2019-10-07,14.625,20.0,25.375,2,8,7
2019-10-14,15.875,20.5,24.75,0,1,76
2019-10-14,15.875,20.5,24.75,0,2,21
2019-10-14,15.875,20.5,24.75,0,3,24
2019-10-14,15.875,20.5,24.75,0,4,9
2019-10-14,15.875,20.5,24.75,0,5,4
2019-10-14,15.875,20.5,24.75,0,6,11
2019-10-14,15.875,20.5,24.75,0,7,0
2019-10-14,15.875,20.5,24.75,0,8,3
2019-10-21,15.75,19.875,23.5,0,1,144
2019-10-21,15.75,19.875,23.5,0,2,99
2019-10-21,15.75,19.875,23.5,0,3,28
2019-10-21,15.75,19.875,23.5,0,4,13
2019-10-21,15.75,19.875,23.5,0,5,14
2019-10-21,15.75,19.875,23.5,0,6,15
2019-10-21,15.75,19.875,23.5,0,7,11
2019-10-21,15.75,19.875,23.5,0,8,7
2019-10-28,15.125,20.0,24.5,3,1,108
2019-10-28,15.125,20.0,24.5,3,2,24
2019-10-28,15.125,20.0,24.5,3,3,12
2019-10-28,15.125,20.0,24.5,3,4,2
2019-10-28,15.125,20.0,24.5,3,5,7
2019-10-28,15.125,20.0,24.5,3,6,9
2019-10-28,15.125,20.0,24.5,3,7,6
2019-10-28,15.125,20.0,24.5,3,8,0
2019-11-04,18.25,23.5,28.625,12,1,64
2019-11-04,18.25,23.5,28.625,12,2,83
2019-11-04,18.25,23.5,28.625,12,3,21
2019-11-04,18.25,23.5,28.625,12,4,9
